cluster,gene,rank,score,logfoldchange,pval,pval_adj
2,KCNN3,48,27.843071,4.1236067,1.3066924867296797e-170,3.6870110366468907e-168
2,PREX2,49,27.76301,3.8087385,1.2137393450752635e-169,3.363575160039824e-167
2,PRKCA,50,27.760101,2.4320974,1.3159964321823428e-169,3.5829734440417156e-167
2,ARHGEF4,51,27.203684,3.5232038,5.874666091712954e-163,1.5718783289188505e-160
2,GNA14,52,27.132051,6.4326,4.12393118546765e-162,1.0847336960554654e-159
2,GFAP,53,27.02072,6.136796,8.438468345120089e-161,2.165569842076243e-158
2,NFIA,54,26.910955,2.4035172,1.6348801702332686e-159,4.0922105422338864e-157
2,FYN,55,26.78171,2.4405663,5.278006363459088e-158,1.3001489008654222e-155
2,GABRB1,56,26.706223,2.8323214,3.9853116918903455e-157,9.66375814788223e-155
2,STON2,57,26.689047,5.5637193,6.307984962579451e-157,1.5060556712964693e-154
2,OPHN1,58,26.686892,3.2463422,6.681784075404105e-157,1.571130410093883e-154
2,SLC7A11,59,26.598349,5.9186764,7.093426307600126e-156,1.618865924524211e-153
2,MAPK10,60,26.449867,2.37213,3.661619119048594e-154,8.235459001234076e-152
2,CDH20,61,26.342371,2.6800382,6.276885158137593e-153,1.3915854395591045e-150
2,ITPKB,62,26.266127,3.55477,4.677222551391696e-152,1.008136344097885e-149
2,FAM189A2,63,26.238691,7.2651153,9.621644633476514e-152,2.045456206396192e-149
2,SLC25A18,64,26.171574,5.526757,5.600133331429108e-151,1.174438772573626e-148
2,CACHD1,65,26.134634,3.742588,1.4736296401137115e-150,3.049234451323292e-148
2,NHSL1,66,26.13331,4.0968804,1.5255362777740804e-150,3.115104933523152e-148
2,FAM107A,67,26.027496,4.837584,2.4193555892127873e-149,4.81358710115298e-147
2,LRIG1,68,25.789242,3.7758985,1.1707865285188928e-146,2.24314026371416e-144
2,ACSBG1,69,25.717741,5.737682,7.40262526871196e-146,1.3841125487366374e-143
2,AHCYL1,70,25.622507,3.4804003,8.56429255202769e-145,1.5822530489871155e-142
2,ARHGEF26,71,25.394533,5.1081667,2.8980723402545627e-142,5.291198193930653e-140
2,DCLK2,72,25.326982,2.8178663,1.6116726204564118e-141,2.9083194647515178e-139
2,MAPK4,73,25.314606,4.4058094,2.2059190013259405e-141,3.934903101330721e-139
2,ZHX3,74,25.256313,2.559665,9.654259725101258e-141,1.702550644020982e-138
2,MED12L,75,25.08406,2.9675016,7.423525551937116e-139,1.2944459892192371e-136
2,PAMR1,76,24.925869,6.19259,3.9016794727201264e-137,6.727795970793738e-135
2,DPP10,77,24.883787,3.6417973,1.1146151587794848e-136,1.8801861575107418e-134
2,ACACB,78,24.86801,3.726767,1.651406370154174e-136,2.755717791228239e-134
2,SLC14A1,79,24.841822,7.517561,3.169606773291877e-136,5.232885905820919e-134
2,MGAT4C,80,24.54603,3.4324262,4.768433389088884e-133,7.789612396344252e-131
2,TCF7L2,81,24.515175,3.1666975,1.0177679655665888e-132,1.6452855268362388e-130
2,ETNPPL,82,24.479519,7.877073,2.441313091244344e-132,3.905849264228966e-130
2,SASH1,83,24.47727,2.618046,2.5796891175320324e-132,4.085121981120369e-130
2,AHCYL2,84,24.450249,2.7484353,5.00178521058886e-132,7.840677240720053e-130
2,EYA2,85,24.249031,4.601302,6.769688301553015e-130,1.0401860668495173e-127
2,FUT9,86,24.239735,2.371488,8.484384663014481e-130,1.2908741724051151e-127
2,PDE4DIP,87,24.197012,2.0132103,2.391871518333463e-129,3.5691782781747126e-127
2,CAMK2G,88,24.18452,2.9544332,3.237274589581608e-129,4.784691843401617e-127
2,LGI1,89,24.163794,3.7084622,5.3477583857437755e-129,7.829420980033742e-127
2,DOCK7,90,24.090233,2.836795,3.1642617776185494e-128,4.589362479146006e-126
2,GLI3,91,24.008492,6.395777,2.2672437783328046e-127,3.1986687450860724e-125
2,YAP1,92,23.971777,6.0028715,5.478675950628988e-127,7.659781268271286e-125
2,PHF21B,93,23.921099,4.189866,1.8476960397543062e-126,2.5602138250845607e-124
2,PTPRZ1,94,23.832102,3.3124733,1.5527624645651957e-125,2.1138000603146732e-123
2,ACOT11,95,23.729555,3.765956,1.7867090740096393e-124,2.3903394930651373e-122
2,FGFR3,96,23.585194,5.547508,5.468971676379643e-123,7.254100123567152e-121
2,DST,97,23.561518,1.4141802,9.566008664998324e-123,1.2580922751873643e-120
2,SPON1,98,23.460539,4.412436,1.031912041502615e-121,1.334520247673257e-119
2,ZBTB20,99,23.431421,2.056194,2.04490368665231e-121,2.622715728360099e-119
2,CADM1,100,23.383068,1.8217208,6.354950393417807e-121,8.083809438971388e-119
